Date,Open,High,Low,Close,Adj Close,Volume
2016-04-13,4.500000,4.700000,4.500000,4.570000,4.570000,12500
2016-04-14,4.570000,4.660000,4.570000,4.600000,4.600000,1700
2016-04-15,4.680000,4.680000,4.440000,4.450000,4.450000,4500
2016-04-18,4.500000,4.500000,4.450000,4.450000,4.450000,8200
2016-04-19,4.490000,4.690000,4.340000,4.490000,4.490000,16400
2016-04-20,4.470000,4.600000,4.470000,4.600000,4.600000,4800
2016-04-21,4.610000,4.720000,4.530000,4.560000,4.560000,8200
2016-04-22,4.610000,4.700000,4.560000,4.580000,4.580000,9800
2016-04-25,4.660000,4.700000,4.510000,4.570000,4.570000,9300
2016-04-26,4.620000,4.700000,4.530000,4.550000,4.550000,20400
2016-04-27,4.540000,4.700000,4.530000,4.610000,4.610000,11600
2016-04-28,4.680000,4.700000,4.660000,4.660000,4.660000,4200
2016-04-29,4.690000,4.700000,4.620000,4.690000,4.690000,5500
2016-05-02,4.700000,4.750000,4.680000,4.700000,4.700000,20700
2016-05-03,4.730000,4.730000,4.660000,4.660000,4.660000,3100
2016-05-04,4.670000,4.670000,4.590000,4.630000,4.630000,7200
2016-05-05,4.630000,4.670000,4.610000,4.610000,4.610000,6000
2016-05-06,4.620000,4.710000,4.540000,4.560000,4.560000,8500
2016-05-09,4.620000,4.640000,4.550000,4.620000,4.620000,23100
2016-05-10,4.600000,4.600000,4.570000,4.580000,4.580000,5400
2016-05-11,4.540000,4.630000,4.540000,4.570000,4.570000,12600
2016-05-12,4.530000,4.610000,4.520000,4.520000,4.520000,16600
2016-05-13,4.560000,4.570000,4.500000,4.530000,4.530000,3100
2016-05-16,4.620000,4.670000,4.380000,4.660000,4.660000,26400
2016-05-17,4.640000,4.640000,4.440000,4.440000,4.440000,3300
2016-05-18,4.600000,4.600000,4.360000,4.500000,4.500000,9900
2016-05-19,4.420000,4.550000,4.420000,4.510000,4.510000,10200
2016-05-20,4.660000,4.850000,4.610000,4.720000,4.720000,15500
2016-05-23,4.790000,4.850000,4.530000,4.530000,4.530000,22400
2016-05-24,4.510000,4.850000,4.510000,4.640000,4.640000,4400
2016-05-25,4.610000,4.690000,4.560000,4.620000,4.620000,2000
2016-05-26,4.400000,4.700000,4.350000,4.590000,4.590000,21600
2016-05-27,4.560000,4.680000,4.560000,4.650000,4.650000,2300
2016-05-31,4.620000,4.790000,4.600000,4.730000,4.730000,20300
2016-06-01,4.730000,4.730000,4.530000,4.610000,4.610000,20000
2016-06-02,4.670000,4.670000,4.530000,4.560000,4.560000,12100
2016-06-03,4.640000,4.680000,4.610000,4.630000,4.630000,2100
2016-06-06,4.600000,4.810000,4.520000,4.800000,4.800000,14800
2016-06-07,4.720000,4.800000,4.690000,4.690000,4.690000,9200
2016-06-08,4.690000,4.740000,4.680000,4.730000,4.730000,6300
2016-06-09,4.750000,4.770000,4.660000,4.770000,4.770000,13600
2016-06-10,4.630000,4.790000,4.620000,4.760000,4.760000,2600
2016-06-13,4.680000,4.710000,4.500000,4.680000,4.680000,11100
2016-06-14,4.570000,4.670000,4.510000,4.580000,4.580000,5600
2016-06-15,4.550000,4.690000,4.550000,4.680000,4.680000,5900
2016-06-16,4.630000,4.680000,4.560000,4.620000,4.620000,5500
2016-06-17,4.570000,4.650000,4.380000,4.410000,4.410000,26800
2016-06-20,4.500000,4.630000,4.440000,4.550000,4.550000,7500
2016-06-21,4.550000,4.550000,4.490000,4.490000,4.490000,4600
2016-06-22,4.470000,4.470000,4.390000,4.390000,4.390000,11300
2016-06-23,4.430000,4.550000,4.370000,4.430000,4.430000,8700
2016-06-24,4.340000,4.800000,4.340000,4.420000,4.420000,60100
2016-06-27,4.320000,4.700000,4.130000,4.180000,4.180000,99700
2016-06-28,4.220000,4.290000,4.030000,4.140000,4.140000,17900
2016-06-29,4.270000,4.330000,4.180000,4.220000,4.220000,8300
2016-06-30,4.310000,4.320000,4.210000,4.240000,4.240000,9500
2016-07-01,4.260000,4.410000,4.240000,4.360000,4.360000,7600
2016-07-05,4.380000,4.390000,4.110000,4.140000,4.140000,12600
2016-07-06,4.190000,4.310000,4.020000,4.140000,4.140000,21700
2016-07-07,4.170000,4.240000,4.070000,4.150000,4.150000,4200
2016-07-08,4.160000,4.270000,4.120000,4.200000,4.200000,10200
2016-07-11,4.240000,4.260000,4.160000,4.170000,4.170000,12300
2016-07-12,4.170000,4.360000,4.160000,4.180000,4.180000,13900
2016-07-13,4.210000,4.300000,4.190000,4.220000,4.220000,5600
2016-07-14,4.290000,4.350000,4.190000,4.210000,4.210000,8800
2016-07-15,4.180000,4.340000,4.150000,4.210000,4.210000,9100
2016-07-18,4.380000,4.390000,4.170000,4.190000,4.190000,40700
2016-07-19,4.130000,4.200000,4.110000,4.200000,4.200000,13500
2016-07-20,4.210000,4.280000,4.150000,4.270000,4.270000,34900
2016-07-21,4.320000,4.460000,4.300000,4.450000,4.450000,29200
2016-07-22,4.490000,4.590000,4.470000,4.560000,4.560000,17300
2016-07-25,4.540000,4.550000,4.490000,4.530000,4.530000,11500
2016-07-26,4.540000,4.540000,4.500000,4.500000,4.500000,5900
2016-07-27,4.550000,4.550000,4.480000,4.500000,4.500000,8900
2016-07-28,4.440000,4.560000,4.410000,4.480000,4.480000,45900
2016-07-29,4.490000,4.550000,4.470000,4.510000,4.510000,19400
2016-08-01,4.540000,4.790000,4.540000,4.660000,4.660000,8700
2016-08-02,4.650000,4.700000,4.610000,4.610000,4.610000,4800
2016-08-03,4.600000,4.700000,4.600000,4.640000,4.640000,5800
2016-08-04,4.610000,4.640000,4.590000,4.600000,4.600000,10100
2016-08-05,4.630000,4.650000,4.500000,4.550000,4.550000,12500
2016-08-08,4.520000,4.550000,4.500000,4.520000,4.520000,1500
2016-08-09,4.500000,4.550000,4.500000,4.500000,4.500000,8300
2016-08-10,4.500000,4.580000,4.490000,4.510000,4.510000,6200
2016-08-11,4.580000,4.580000,4.460000,4.500000,4.500000,3100
2016-08-12,4.540000,4.570000,4.500000,4.560000,4.560000,17300
2016-08-15,4.600000,4.650000,4.550000,4.630000,4.630000,15800
2016-08-16,4.570000,4.650000,4.570000,4.650000,4.650000,9200
2016-08-17,4.610000,4.650000,4.610000,4.620000,4.620000,3200
2016-08-18,4.580000,4.760000,4.580000,4.750000,4.750000,10400
2016-08-19,4.750000,4.770000,4.700000,4.760000,4.760000,4700
2016-08-22,4.770000,4.800000,4.750000,4.800000,4.800000,9100
2016-08-23,4.790000,4.790000,4.640000,4.710000,4.710000,6900
2016-08-24,4.780000,4.780000,4.650000,4.700000,4.700000,3000
2016-08-25,4.660000,4.690000,4.110000,4.240000,4.240000,189800
2016-08-26,4.270000,4.430000,4.200000,4.430000,4.430000,12800
2016-08-29,4.370000,4.500000,4.370000,4.390000,4.390000,13500
2016-08-30,4.400000,4.730000,4.370000,4.540000,4.540000,12300
2016-08-31,4.750000,4.750000,4.530000,4.590000,4.590000,3800
2016-09-01,4.610000,4.610000,4.500000,4.560000,4.560000,6900
2016-09-02,4.420000,4.580000,4.420000,4.530000,4.530000,6500
